#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu573	0	1	0	2	0	0	1	0	0	1	2
Otu472	0	1	0	0	1	7	0	0	6	0	1
Otu477	0	2	1	1	5	2	0	5	9	3	0
Otu579	0	1	1	0	1	0	0	1	1	0	1
Otu228	0	1	0	2	0	0	0	223	6	0	0
Otu443	0	1	1	0	0	9	2	4	2	0	3
Otu499	0	2	1	1	2	9	1	0	0	1	0
Otu475	0	1	2	1	0	1	0	2	1	2	2
Otu410	0	1	8	0	0	16	4	1	3	6	5
Otu464	0	2	0	0	1	1	1	7	0	0	1
Otu236	0	1	0	0	0	340	0	0	1	0	0
Otu588	0	1	0	0	1	0	0	0	0	0	3
Otu648	0	1	1	0	0	0	1	0	0	0	0
Otu358	0	0	1	0	37	0	0	0	3	16	2
Otu518	0	0	3	5	0	0	0	0	0	0	0
Otu644	0	0	7	0	4	4	0	2	22	3	1
Otu567	0	0	3	0	1	1	0	2	0	0	0
Otu455	0	0	1	0	10	0	0	0	1	11	8
Otu635	0	0	1	0	0	1	0	2	0	0	1
Otu609	0	0	1	0	0	0	1	0	0	1	1
Otu438	0	0	1	2	6	0	1	1	1	31	1
Otu614	0	0	1	0	1	1	0	1	0	4	1
Otu461	0	0	1	1	0	0	6	1	4	1	1
Otu641	0	0	1	0	0	1	0	0	0	0	1
Otu656	0	0	1	0	0	0	0	1	2	1	3
Otu426	0	0	1	0	1	3	1	2	4	4	5
Otu551	0	0	3	0	0	2	0	0	2	0	1
Otu411	0	0	4	1	2	2	1	4	9	2	4
Otu493	0	0	1	0	0	1	8	3	2	0	0
Otu574	0	0	1	0	0	0	0	5	1	0	2
Otu532	0	0	1	0	2	1	0	0	0	3	1
Otu445	0	0	2	0	0	4	0	8	7	0	1
Otu476	0	0	1	0	0	4	0	0	4	2	2
Otu553	0	0	0	99	0	0	0	5	1	3	0
Otu120	0	0	0	3	270	0	0	2	0	89	705
Otu527	0	0	0	1	1	2	0	3	0	0	0
Otu652	0	0	0	25	0	0	0	1	0	0	0
Otu419	0	0	0	4	0	0	0	19	1	9	0
Otu561	0	0	0	6	0	0	0	0	0	0	0
Otu649	0	0	0	1	0	0	2	0	2	1	2
Otu583	0	0	0	1	0	0	0	36	1	0	0
